    342 многий	    ^многий/*многий$ 
    300 М	    ^М/*М$ 
    260 США	    ^США/*США$ 
    238 Н	    ^Н/*Н$ 
    205 Г	    ^Г/*Г$ 
    192 Л	    ^Л/*Л$ 
    183 интернет	    ^интернет/*интернет$ 
    182 КП	    ^КП/*КП$ 
    173 АМ	    ^АМ/*АМ$ 
    162 Рубахин	    ^Рубахин/*Рубахин$ 
    150 Д	    ^Д/*Д$ 
    145 Гастев	    ^Гастев/*Гастев$ 
    143 РФ	    ^РФ/*РФ$ 
    142 Марутян	    ^Марутян/*Марутян$ 
    134 Красноперов	    ^Красноперов/*Красноперов$ 
    124 НАТО	    ^НАТО/*НАТО$ 
    118 несмотря	    ^нес/нести<vblex><impf><iv><past><m><sg>$^мотря/*мотря$ 
    115 Терехова	    ^Терехова/*Терехова$ 
    100 П	    ^П/*П$ 
     93 Т	     ^Т/*Т$ 
     86 СПС	     ^СПС/*СПС$ 
     78 вряд	     ^вря/врать<vblex><impf><iv><pprs><adv><prb>/врать<vblex><impf><tv><pprs><adv><prb>$^д/*д$ 
     74 Явлинский	     ^Явлинский/*Явлинский$ 
     68 Госдума	     ^Госдума/*Госдума$ 
     68 Ганапольский	     ^Ганапольский/*Ганапольский$ 
     67 Ф	     ^Ф/*Ф$ 
     67 ЛПХ	     ^ЛПХ/*ЛПХ$ 
     67 Гонорий	     ^Гонорий/*Гонорий$ 
     66 СССР	     ^СССР/*СССР$ 
     66 Вовка	     ^Вовка/*Вовка$ 
     62 Р	     ^Р/*Р$ 
     59 Михайлович	     ^Михайлович/*Михайлович$ 
     56 Элуцидарий	     ^Элуцидарий/*Элуцидарий$ 
     53 оао	     ^оао/*оао$ 
     52 Ходорковский	     ^Ходорковский/*Ходорковский$ 
     52 Мишина	     ^Мишина/*Мишина$ 
     51 сми	     ^сми/*сми$ 
     51 Арафат	     ^Арафат/*Арафат$ 
     50 Сысоев	     ^Сысоев/*Сысоев$ 
     50 ЗпОМ	     ^ЗпОМ/*ЗпОМ$ 
     49 Юкос	     ^Юкос/*Юкос$ 
     48 Лагарпов	     ^Лагарпов/*Лагарпов$ 
     48 Иващенко	     ^Иващенко/*Иващенко$ 
     46 Гартвиг	     ^Гартвиг/*Гартвиг$ 
     44 Вячеслав	     ^Вячеслав/*Вячеслав$ 
     43 МВД	     ^МВД/*МВД$ 
     43 Бмк	     ^Бмк/*Бмк$ 
     42 Лахова	     ^Лахова/*Лахова$ 
     42 Зюганов	     ^Зюганов/*Зюганов$ 
     40 Хоукинг	     ^Хоукинг/*Хоукинг$ 
     40 Данилова	     ^Данилова/*Данилова$ 
     40 Аверин	     ^Аверин/*Аверин$ 
     39 чань	     ^чань/*чань$ 
